restaurant_id	borough_id	building	street	zipcode	cuisine_id
512eb8ecc1d00ad39bb4f489ff12d7ae	3	55	WEST   21 STREET	10010	3
68cd8b312efe1b2917a4fafda3820a55	4	0	LAGUARDIA AIRPORT	11369	3
aeb3b9cf97f21aa1f62b21fa98c3248c	2	296	GRAND STREET	11211	47
e37666b7ba10ccae47c88437682cad44	3	9	WEST   57 STREET	10019	3
add785d930ef763f11c81f59b0114fe2	3	413	E 69TH ST	10021	13
b2c6da41580521c5a7ac18a4997c1db4	2	147	FRONT ST	11201	3
642b3f4f9974abcde117448e120958d5	4	23006	S CONDUIT AVE	11413	16
287fc9dc7af2a07289d9e5cefc42f01d	3	304	WEST   56 STREET	10019	46
1bc17a844b8593ef3ff6f9deda9166d0	3	200	E 60TH STREET	10022	3
b07efd5e09acabf1a309b7542d171d98	3	1167	2 AVENUE	10065	3
a65b1f8fcb5b2fdacce18829facb682a	2	451	CLARKSON AVENUE	11203	13
0ee115e2978a9ac4ffde7d087f55b705	2	814B	56TH ST	11220	58
0e7272e20eb4d8981ee1c17ca5d029fb	2	30	NEVINS STREET	11217	63
c4a10c5acacdcc9d5ea685b0c6c9779c	3	224	EAST   53 STREET	10022	46
09744ecbde94c2f8dc722f407b14e119	1	2559	3 AVENUE	10451	62
d0ced329e6f748f602238a39c8e7cacd	3	73	2ND AVE	10003	3
ef49f815a5dce84cf99dc3ee5a48d621	3		CENTRAL PARK WEST	10019	3
a3a6feb0f4669c7dc0c8f43cf7f32797	3	10	MOTT ST	10013	41
c0e475907f13426867340143465235dc	4	5316	108TH ST	11368	19
a974a69e042ff1aa2c173d3022f85efd	3	192	2 AVENUE	10003	3
4b8811800744996aadf58ac7cacbe5d8	2	1351	CONEY ISLAND AVE	11230	41
cfc0a72eff93dc8cd114eec2e055fc31	2	1418	MERMAID AVE	11224	19
58493178fefd6362925c06b29b783e36	2	620	ATLANTIC AVENUE	11217	11
315bc03f95854c8211841a6051f6b6dd	1	207	EAST FORDHAM ROAD	10458	62
e0db735e3393488a5743a7d86d1aa8cb	3	21	WEST   52 STREET	10019	3
80588f47c610202eb4f37df6c57b9cac	3	417	3 AVENUE	10016	19
5f3f01d4ab83c70c244a0d543bb8a4b3	3	133	EAST   55 STREET	10022	3
a6bc00c74a247571d1c94ebbbfdfe859	1	2330	ARTHUR AVE	10458	77
a5e0dbb50c8702f20b54ac046929a153	2	820	39TH ST	11232	19
54960165b5a678b8f70c9649e18c428f	3	49	GROVE STREET	10014	3
91f41ce20f97044fba75158f99f0e555	3	510	EAST   11 STREET	10009	3
a1c6a2be8eb355cbf9b042ebb5c2f1e5	3	254	WEST   54 STREET	10019	3
99be402ac28929fee12ed7842b49966d	3	7	EAST 36 STREET	10016	45
7a1aecce8a6f964ff392062a3fcfb7cc	3	2082	FREDERICK DOUGLAS BOULEVARD	10026	3
b6f5501cd03e6b37686011645d5f8e5c	2	750	MYRTLE AVE	11205	3
5abdaf40e47d8be8702263e53dfa828b	3	88	EAST BROADWAY	10002	19
cec38ec9cb5dce1b7a2bf8f64d82beef	3	201	EAST   34 STREET	10016	62
1615090f9773b6ed7dffa0b7ab6d44ff	2	847	UTICA AVENUE	11203	16
1ae6afef118fca2927b5967fa13c01e4	5	3135	VICTORY BOULEVARD	10314	3
0079cdd85d6bd9faf99fdbee78521cdd	3	1417	2 AVENUE	10021	52
5ed6a68aaa75830f7dc7358eaf1915c2	4	22701	LINDEN BLVD	11411	16
a5c22eeafa02aab2fb88227e01ca9ad6	2	350	VAN BRUNT ST	11231	7
38342f564a17db553283a6357b6fd0b0	5	416	JERSEY ST	10301	17
